Plaza ID,Date,Hour,Direction,# Vehicles - E-ZPass,# Vehicles - VToll
21,08/06/2022,0,I,2820,649
21,08/06/2022,1,I,2124,474
21,08/06/2022,2,I,1617,391
21,08/06/2022,3,I,1228,358
21,08/06/2022,4,I,1604,368
21,08/06/2022,5,I,1987,385
21,08/06/2022,6,I,3472,607
21,08/06/2022,7,I,4544,852
21,08/06/2022,8,I,4705,873
21,08/06/2022,9,I,5595,1044
21,08/06/2022,10,I,5950,1182
21,08/06/2022,11,I,6542,1281
21,08/06/2022,12,I,7238,1588
21,08/06/2022,13,I,7267,1557
21,08/06/2022,14,I,7060,1436
21,08/06/2022,15,I,6663,1462
21,08/06/2022,16,I,6756,1474
21,08/06/2022,17,I,7218,1479
21,08/06/2022,18,I,6667,1412
21,08/06/2022,19,I,6201,1331
21,08/06/2022,20,I,5400,1159
21,08/06/2022,21,I,5439,1230
21,08/06/2022,22,I,6058,1296
21,08/06/2022,23,I,5782,1270
22,08/06/2022,0,O,890,235
22,08/06/2022,1,O,548,152
22,08/06/2022,2,O,462,118
22,08/06/2022,3,O,396,96
22,08/06/2022,4,O,476,78
22,08/06/2022,5,O,631,98
22,08/06/2022,6,O,890,127
22,08/06/2022,7,O,1370,232
22,08/06/2022,8,O,1605,257
22,08/06/2022,9,O,1929,290
22,08/06/2022,10,O,2526,375
22,08/06/2022,11,O,2754,482
22,08/06/2022,12,O,2472,433
22,08/06/2022,13,O,1948,364
22,08/06/2022,14,O,2363,478
22,08/06/2022,15,O,2524,514
22,08/06/2022,16,O,2583,522
22,08/06/2022,17,O,2307,499
22,08/06/2022,18,O,1894,346
22,08/06/2022,19,O,1804,413
22,08/06/2022,20,O,1732,393
22,08/06/2022,21,O,1532,356
22,08/06/2022,22,O,1666,396
22,08/06/2022,23,O,1615,377
23,08/06/2022,0,I,1772,387
23,08/06/2022,0,O,1135,273
23,08/06/2022,1,I,1074,283
23,08/06/2022,1,O,868,232
23,08/06/2022,2,I,759,203
23,08/06/2022,2,O,615,170
23,08/06/2022,3,I,636,194
23,08/06/2022,3,O,723,163
23,08/06/2022,4,I,810,198
23,08/06/2022,4,O,1005,202
23,08/06/2022,5,I,1483,291
23,08/06/2022,5,O,1465,282
23,08/06/2022,6,I,2257,347
23,08/06/2022,6,O,1882,315
23,08/06/2022,7,I,2773,466
23,08/06/2022,7,O,2271,429
23,08/06/2022,8,I,3591,513
23,08/06/2022,8,O,2380,468
23,08/06/2022,9,I,3811,677
23,08/06/2022,9,O,2803,556
23,08/06/2022,10,I,3738,677
23,08/06/2022,10,O,3247,665
23,08/06/2022,11,I,3822,711
23,08/06/2022,11,O,3141,718
23,08/06/2022,12,I,3653,742
23,08/06/2022,12,O,2283,513
23,08/06/2022,13,I,3562,725
23,08/06/2022,13,O,3161,732
23,08/06/2022,14,I,3655,795
23,08/06/2022,14,O,3535,877
23,08/06/2022,15,I,3483,774
23,08/06/2022,15,O,3077,768
23,08/06/2022,16,I,3696,814
23,08/06/2022,16,O,3622,802
23,08/06/2022,17,I,3388,688
23,08/06/2022,17,O,3584,824
23,08/06/2022,18,I,3165,749
23,08/06/2022,18,O,3444,838
23,08/06/2022,19,I,3304,713
23,08/06/2022,19,O,3301,724
23,08/06/2022,20,I,2853,607
23,08/06/2022,20,O,3371,809
23,08/06/2022,21,I,3104,614
23,08/06/2022,21,O,3224,829
23,08/06/2022,22,I,3584,763
23,08/06/2022,22,O,3024,750
23,08/06/2022,23,I,3729,818
23,08/06/2022,23,O,2543,680
24,08/06/2022,0,I,437,110
24,08/06/2022,0,O,510,131
24,08/06/2022,1,I,186,47
24,08/06/2022,1,O,524,111
24,08/06/2022,2,I,85,20
24,08/06/2022,2,O,302,65
24,08/06/2022,3,I,65,16
24,08/06/2022,3,O,209,69
24,08/06/2022,4,I,126,21
24,08/06/2022,4,O,171,42
24,08/06/2022,5,I,271,57
24,08/06/2022,5,O,136,37
24,08/06/2022,6,I,631,100
24,08/06/2022,6,O,249,37
24,08/06/2022,7,I,824,161
24,08/06/2022,7,O,486,63
24,08/06/2022,8,I,1394,227
24,08/06/2022,8,O,605,79
24,08/06/2022,9,I,1702,273
24,08/06/2022,9,O,929,133
24,08/06/2022,10,I,2090,346
24,08/06/2022,10,O,1479,224
24,08/06/2022,11,I,2463,541
24,08/06/2022,11,O,1619,256
24,08/06/2022,12,I,2474,508
24,08/06/2022,12,O,1650,286
24,08/06/2022,13,I,2494,573
24,08/06/2022,13,O,1875,328
24,08/06/2022,14,I,2478,495
24,08/06/2022,14,O,1912,350
24,08/06/2022,15,I,2329,489
24,08/06/2022,15,O,1865,346
24,08/06/2022,16,I,2413,511
24,08/06/2022,16,O,1824,356
24,08/06/2022,17,I,2320,483
24,08/06/2022,17,O,1475,274
24,08/06/2022,18,I,2338,472
24,08/06/2022,18,O,1103,216
24,08/06/2022,19,I,1735,369
24,08/06/2022,19,O,1149,199
24,08/06/2022,20,I,1084,222
24,08/06/2022,20,O,1111,202
24,08/06/2022,21,I,1003,205
24,08/06/2022,21,O,1058,165
24,08/06/2022,22,I,816,166
24,08/06/2022,22,O,1077,203
24,08/06/2022,23,I,415,83
24,08/06/2022,23,O,835,159
25,08/06/2022,0,I,168,31
25,08/06/2022,0,O,109,21
25,08/06/2022,1,I,128,20
25,08/06/2022,1,O,56,15
25,08/06/2022,2,I,76,15
25,08/06/2022,2,O,71,9
25,08/06/2022,3,I,49,13
25,08/06/2022,3,O,47,6
25,08/06/2022,4,I,71,9
25,08/06/2022,4,O,56,12
25,08/06/2022,5,I,126,18
25,08/06/2022,5,O,135,16
25,08/06/2022,6,I,161,19
25,08/06/2022,6,O,236,19
25,08/06/2022,7,I,231,35
25,08/06/2022,7,O,349,22
25,08/06/2022,8,I,348,60
25,08/06/2022,8,O,415,38
25,08/06/2022,9,I,528,82
25,08/06/2022,9,O,506,42
25,08/06/2022,10,I,756,126
25,08/06/2022,10,O,521,55
25,08/06/2022,11,I,972,201
25,08/06/2022,11,O,549,67
25,08/06/2022,12,I,1039,221
25,08/06/2022,12,O,541,63
25,08/06/2022,13,I,1026,236
25,08/06/2022,13,O,556,70
25,08/06/2022,14,I,959,168
25,08/06/2022,14,O,587,76
25,08/06/2022,15,I,864,160
25,08/06/2022,15,O,610,80
25,08/06/2022,16,I,746,152
25,08/06/2022,16,O,753,94
25,08/06/2022,17,I,719,130
25,08/06/2022,17,O,708,106
25,08/06/2022,18,I,584,94
25,08/06/2022,18,O,778,111
25,08/06/2022,19,I,449,87
25,08/06/2022,19,O,699,122
25,08/06/2022,20,I,394,54
25,08/06/2022,20,O,708,93
25,08/06/2022,21,I,357,57
25,08/06/2022,21,O,564,70
25,08/06/2022,22,I,285,44
25,08/06/2022,22,O,445,61
25,08/06/2022,23,I,246,35
25,08/06/2022,23,O,380,39
26,08/06/2022,0,I,206,39
26,08/06/2022,0,O,153,36
26,08/06/2022,1,I,147,38
26,08/06/2022,1,O,88,26
26,08/06/2022,2,I,104,18
26,08/06/2022,2,O,81,10
26,08/06/2022,3,I,87,19
26,08/06/2022,3,O,58,21
26,08/06/2022,4,I,64,8
26,08/06/2022,4,O,112,23
26,08/06/2022,5,I,96,21
26,08/06/2022,5,O,176,28
26,08/06/2022,6,I,182,26
26,08/06/2022,6,O,250,37
26,08/06/2022,7,I,233,26
26,08/06/2022,7,O,343,35
26,08/06/2022,8,I,419,52
26,08/06/2022,8,O,445,57
26,08/06/2022,9,I,482,86
26,08/06/2022,9,O,442,59
26,08/06/2022,10,I,579,108
26,08/06/2022,10,O,524,72
26,08/06/2022,11,I,682,105
26,08/06/2022,11,O,574,83
26,08/06/2022,12,I,702,106
26,08/06/2022,12,O,581,97
26,08/06/2022,13,I,737,118
26,08/06/2022,13,O,654,101
26,08/06/2022,14,I,648,122
26,08/06/2022,14,O,673,125
26,08/06/2022,15,I,607,123
26,08/06/2022,15,O,740,163
26,08/06/2022,16,I,550,91
26,08/06/2022,16,O,771,159
26,08/06/2022,17,I,570,94
26,08/06/2022,17,O,775,155
26,08/06/2022,18,I,471,94
26,08/06/2022,18,O,859,197
26,08/06/2022,19,I,499,80
26,08/06/2022,19,O,725,152
26,08/06/2022,20,I,414,70
26,08/06/2022,20,O,625,126
26,08/06/2022,21,I,336,41
26,08/06/2022,21,O,467,121
26,08/06/2022,22,I,343,45
26,08/06/2022,22,O,381,82
26,08/06/2022,23,I,380,47
26,08/06/2022,23,O,244,68
27,08/06/2022,0,I,1288,176
27,08/06/2022,0,O,1596,297
27,08/06/2022,1,I,908,137
27,08/06/2022,1,O,1187,213
27,08/06/2022,2,I,619,66
27,08/06/2022,2,O,824,179
27,08/06/2022,3,I,494,52
27,08/06/2022,3,O,765,117
27,08/06/2022,4,I,353,39
27,08/06/2022,4,O,726,97
27,08/06/2022,5,I,543,89
27,08/06/2022,5,O,696,103
27,08/06/2022,6,I,1079,169
27,08/06/2022,6,O,773,95
27,08/06/2022,7,I,1221,187
27,08/06/2022,7,O,1006,146
27,08/06/2022,8,I,1410,242
27,08/06/2022,8,O,1118,157
27,08/06/2022,9,I,1866,349
27,08/06/2022,9,O,1281,175
27,08/06/2022,10,I,2162,404
27,08/06/2022,10,O,1386,244
27,08/06/2022,11,I,2152,403
27,08/06/2022,11,O,1649,254
27,08/06/2022,12,I,2043,432
27,08/06/2022,12,O,1920,330
27,08/06/2022,13,I,2185,397
27,08/06/2022,13,O,1801,292
27,08/06/2022,14,I,2192,428
27,08/06/2022,14,O,1897,352
